;H1-1;H1-2;H1-3;H2-1;H2-2;H2-3;H3-1;H3-2;H3-3
A0A0B4J1B8;1;1;1;1;1;1;1;1;1
A0A3Q2GRR8;1;1;1;1;0;1;1;0;0
A0A3Q2GRS8;1;1;1;1;0;1;0;1;0
A0A3Q2GRW3;1;1;1;1;1;1;1;0;1
A0A3Q2GS39;1;1;1;1;1;1;1;1;1
A0A3Q2GS42;1;1;1;1;1;1;1;1;1
A0A3Q2GSD9;1;1;1;1;1;1;1;1;1
A0A3Q2GSE1;1;1;0;1;1;0;1;0;0
A0A3Q2GSF8;1;1;1;1;1;1;1;1;1
A0A3Q2GSH5;1;1;1;1;1;1;0;1;0
A0A3Q2GSI4;1;1;1;1;1;1;1;1;1
A0A3Q2GSJ8;1;1;1;1;1;1;1;1;1
A0A3Q2GSM3;1;1;1;1;1;1;1;1;1
A0A3Q2GSR0;1;1;1;1;1;1;1;1;1
A0A3Q2GST2;1;1;1;1;1;1;1;1;1
A0A3Q2GST7;1;1;1;1;1;0;1;1;1
A0A3Q2GSU0;1;1;1;1;1;1;1;1;1
A0A3Q2GSX2;1;1;1;1;1;1;1;1;1
A0A3Q2GSX8;1;1;1;1;1;1;1;1;1
A0A3Q2GT03;1;1;1;1;1;1;1;1;1
A0A3Q2GT09;1;1;1;1;1;1;1;1;1
A0A3Q2GT20;0;0;0;0;0;0;0;0;0
A0A3Q2GT22;1;1;1;1;1;1;1;1;1
A0A3Q2GT23;1;1;1;1;1;1;1;1;1
A0A3Q2GT24;1;1;1;1;1;1;1;1;1
A0A3Q2GT53;1;1;1;1;1;1;1;1;1
A0A3Q2GT70;1;1;1;1;1;1;1;1;1
A0A3Q2GT75;1;1;1;1;1;1;1;0;0
A0A3Q2GTA9;1;1;1;1;1;1;1;1;1
A0A3Q2GTG5;1;1;1;1;1;1;1;1;1
A0A3Q2GTH6;1;1;1;1;1;1;1;0;1
A0A3Q2GTM7;1;1;1;1;1;1;1;1;1
A0A3Q2GTR9;1;1;1;1;1;1;1;1;1
A0A3Q2GTT9;1;1;1;1;1;1;0;1;0
A0A3Q2GTU4;1;1;1;1;1;1;1;1;1
A0A3Q2GTV3;1;1;1;1;1;0;1;1;0
A0A3Q2GTX2;1;1;1;1;0;0;0;1;0
A0A3Q2GU85;0;1;1;1;1;1;1;1;0
A0A3Q2GUP3;1;1;1;1;1;1;1;1;0
A0A3Q2GUS8;1;1;1;1;1;1;1;1;1
A0A3Q2GUY5;1;1;1;1;1;1;1;1;1
A0A3Q2GV00;1;1;1;1;1;1;1;1;0
A0A3Q2GV13;1;1;1;1;1;1;1;1;1
A0A3Q2GV25;1;1;1;1;1;1;1;1;1
A0A3Q2GV52;0;1;0;0;0;0;0;0;0
A0A3Q2GV76;1;1;1;1;1;1;1;1;1
A0A3Q2GV85;1;1;1;1;1;1;0;1;0
A0A3Q2GV97;1;1;1;1;1;1;1;1;1
A0A3Q2GVC4;1;1;1;1;1;1;1;1;1
A0A3Q2GVG0;1;1;1;1;1;1;1;1;1
A0A3Q2GW03;1;1;1;1;1;1;1;1;1
A0A3Q2GW29;1;1;1;1;1;1;1;1;1
A0A3Q2GW41;1;1;1;1;0;0;0;0;0
A0A3Q2GW49;1;1;1;0;0;0;0;0;0
A0A3Q2GW51;1;1;1;1;1;1;1;1;1
A0A3Q2GW58;1;1;1;1;0;1;1;1;0
A0A3Q2GW75;1;1;1;1;1;1;1;1;1
A0A3Q2GWB2;1;1;1;1;0;0;1;0;0
A0A3Q2GWC1;1;1;1;1;1;1;1;1;1
A0A3Q2GWC9;1;1;1;1;1;1;1;1;1
A0A3Q2GWH5;0;1;0;1;0;0;0;0;0
A0A3Q2GWI8;1;1;1;1;1;1;1;1;1
A0A3Q2GWL7;0;0;0;0;0;0;0;0;0
A0A3Q2GWN6;1;1;0;0;0;0;0;0;0
A0A3Q2GWN9;1;1;1;1;1;1;1;1;1
A0A3Q2GWV9;1;1;1;1;1;1;1;1;0
A0A3Q2GWY0;1;1;1;1;1;1;1;1;1
A0A3Q2GX41;1;1;1;1;0;1;0;0;0
A0A3Q2GX47;1;1;1;1;1;1;1;0;1
A0A3Q2GX68;1;1;1;1;1;1;1;1;1
A0A3Q2GX72;1;1;1;1;0;1;0;1;0
A0A3Q2GX84;1;1;0;0;1;0;1;1;1
A0A3Q2GX86;0;1;1;0;0;0;1;1;1
A0A3Q2GX88;1;1;1;1;1;1;1;1;1
