;One;Two;Three;Four;Five;Six
Q9BUJ2;1;1;0;1;0;1
P49588;1;0;1;1;0;1
Q05519;1;0;1;0;0;1
Q96QK1;1;0;0;1;0;1
P04080;1;1;1;1;0;1
A0A0C4DH43;1;0;1;1;0;1
P51572;1;0;0;0;0;1
P49354;1;1;1;1;0;1
Q7Z3Y9;1;1;0;1;0;1
P23229;1;1;1;1;1;1
P51452;1;1;0;1;1;1
P98179;1;1;1;1;1;1
Q9NVS9;1;0;0;0;0;1
P00387;1;1;1;1;1;1
Q9Y4G6;1;1;0;1;0;1
O43175;1;1;1;1;1;1
Q9C075;1;1;1;1;0;1
Q9Y241;1;0;0;1;0;1
O15400;1;1;0;1;0;1
P05089;1;1;1;1;0;1
O95336;1;0;1;1;1;1
P62834;1;1;1;1;0;1
P54136;1;1;1;1;1;1
Q9UKM9;1;1;1;1;1;1
P46821;1;0;1;1;1;1
O00567;1;1;1;1;0;1
Q16531;1;1;1;0;0;1
Q16775;1;0;0;1;0;1
P38919;1;0;1;1;0;1
P35555;1;1;1;0;1;1
Q14CN4;1;0;1;1;1;1
O00468;1;0;1;0;1;1
Q96DI7;1;0;0;0;0;1
Q13310;1;1;1;0;1;1
Q5T1M5;1;1;0;1;0;1
O94776;1;1;1;0;0;1
P31930;1;1;1;1;1;1
Q7Z4V5;1;0;0;0;0;1
P43652;1;1;0;1;1;1
Q9Y383;1;0;1;1;0;1
Q7Z6K5;1;1;0;1;0;1
Q99460;1;1;0;0;0;1
Q96I99;1;1;0;1;1;1
O75964;1;1;1;1;0;1
P49327;1;1;1;1;0;1
B3EWG6;1;1;1;1;1;1
Q9UKY7;1;1;1;1;0;1
Q15124;1;1;1;1;0;1
P30405;1;0;0;0;0;1
Q8WXF1;1;1;1;1;1;1
Q96P63;1;1;1;0;1;1
Q07866;1;0;0;0;0;1
P09661;1;1;1;1;1;1
P23634;1;1;1;1;0;1
Q7KZF4;1;0;1;1;0;1
P14868;1;0;1;1;0;1
P62877;1;1;0;1;0;1
O43678;1;1;0;1;1;1
P28482;1;0;1;1;0;1
P04179;1;0;0;0;0;1
P05023;1;0;0;0;0;1
Q9UMS4;1;1;1;0;1;1
Q15843;1;1;0;1;1;1
P16070;1;1;1;1;1;1
O43242;1;1;1;1;1;1
A0A0A0MRZ8;1;0;1;0;1;1
P19623;1;1;1;0;0;1
Q32MZ4;1;1;1;0;0;1
P35443;1;1;0;1;1;1
O15231;1;1;1;1;0;1
Q92743;1;1;0;1;0;1
Q92466;1;0;0;0;0;1
P46976;1;1;0;0;0;1
Q7Z7G0;1;0;0;1;1;1
P41219;1;1;0;0;0;1
P30085;1;1;1;1;0;1
O75822;1;0;1;0;0;1
Q969E4;1;0;1;1;0;1
Q9UBQ5;1;1;0;0;0;1
P12074;1;1;0;1;1;1
P01877;1;0;0;1;1;1
Q9UPN3;1;0;1;1;1;1
Q92499;1;0;1;1;1;1
P53621;1;1;0;1;0;1
Q99536;1;1;1;1;0;1
Q14956;1;1;1;0;0;1
Q9Y5X3;1;1;1;0;1;1
Q13765;1;1;1;1;0;1
P35080;1;0;0;0;0;1
Q9Y4E8;1;1;1;0;1;1
P49591;1;1;1;0;1;1
P46108;1;1;0;1;0;1
Q9BT78;1;0;0;0;1;1
A0A075B6K4;1;0;1;1;1;1
P21796;1;1;1;1;0;1
Q9Y3E1;1;1;1;0;0;1
P29508;1;1;1;1;1;1
Q15428;1;0;0;0;0;1
Q16666;1;1;1;1;0;1
P51665;1;1;1;1;0;1
P50402;1;1;1;1;1;1
P29590;1;1;1;0;1;1
Q13247;1;1;1;1;1;1
Q9HCY8;1;1;1;1;1;1
P08574;1;1;1;1;1;1
Q9Y5Z4;1;1;1;1;1;1
Q9Y3D6;1;1;1;1;0;1
Q13011;1;1;0;1;1;1
Q13596;1;0;0;1;0;1
Q9P0J0;1;1;0;0;0;1
P20339;1;0;1;1;0;1
P27105;1;1;1;1;0;1
