;One;Two;Three;Four;Five;Six
A0A075B6K4;1;1;1;1;1;1
A0A0A0MRZ8;0;0;0;1;0;0
A0A0A0MRZ8;0;0;0;0;1;1
A0A0A0MS15;1;0;1;0;0;1
A0A0A0MS15;0;0;0;1;0;0
A0A0B4J1V0;1;1;0;1;0;1
A0A0B4J1V0;0;1;1;1;0;0
A0A0C4DH38;1;0;0;0;0;1
A0A0C4DH43;0;1;1;1;1;0
A0A0C4DH43;0;0;0;0;0;1
A0A0C4DH55;0;0;0;0;0;1
A0A0C4DH68;1;1;0;0;1;0
A0A0C4DH68;0;0;0;0;0;1
A0A0C4DH69;0;1;1;0;0;0
A0A0C4DH72;1;1;0;1;1;1
A0A0C4DH73;0;1;0;0;0;0
A0A0J9YXX1;1;0;0;0;0;0
A0A0J9YXX1;0;1;0;0;1;0
A0FGR8;0;0;0;1;0;0
A0FGR8;0;1;0;0;0;0
A0MZ66;0;0;0;0;0;1
A2RRP1;0;1;0;0;0;0
A5YM69;1;1;0;1;0;1
A6NEC2;1;0;1;0;0;0
A6NEC2;0;0;1;1;0;0
A6NEC2;0;0;0;0;0;1
A6NEM1;0;0;1;0;0;0
A6NEM1;0;0;0;0;0;1
A6NMZ7;1;1;1;1;0;1
A6NMZ7;0;0;1;1;0;0
A6NMZ7;0;1;0;0;0;0
A6NMZ7;0;0;0;0;1;0
A6NMZ7;0;0;1;1;0;1
A6NMZ7;0;0;0;1;0;0
A8K2U0;0;0;1;0;1;0
A8MSI8;0;0;0;0;0;1
A8MV65;1;0;0;0;0;0
A8TX70;1;0;0;0;0;1
B9A064;1;0;1;1;1;1
B9A064;0;1;0;1;1;0
B9A064;1;1;1;0;0;0
B9A064;1;1;0;1;0;1
B9A064;0;0;0;0;1;0
B9A064;0;1;0;0;0;0
O00151;0;1;0;1;1;0
O00151;1;0;0;0;0;0
O00151;0;0;1;0;0;0
O00151;0;0;1;0;0;0
O00154;0;0;0;1;1;1
O00159;0;1;0;1;0;0
O00159;1;0;0;1;0;0
O00159;0;0;1;0;1;1
O00159;1;0;0;1;0;0
O00159;0;0;1;0;0;1
O00159;0;1;0;0;0;0
O00159;0;1;0;0;0;1
O00159;0;1;0;0;0;0
O00161;0;0;0;0;0;1
O00170;0;1;0;1;0;0
O00193;1;0;0;1;0;0
O00193;1;0;0;0;0;0
O00193;0;0;0;1;0;0
O00193;0;0;0;1;0;0
O00193;0;0;0;0;1;1
O00213;1;0;0;0;0;0
O00217;0;1;0;0;0;1
O00264;1;0;0;1;1;0
O00273;0;1;1;0;0;1
O00299;0;0;0;0;1;1
O00299;0;0;0;0;0;1
O00339;1;0;0;0;0;0
O00339;1;0;1;0;0;1
O00479;0;0;1;1;0;1
O00512;0;0;0;0;1;0
O00515;1;0;0;0;0;0
O00515;0;1;0;0;0;0
O00515;0;1;0;0;0;0
O00515;0;0;0;0;0;1
O00515;0;0;0;0;0;1
O00560;0;1;1;0;0;0
O00560;0;1;0;0;0;0
O00567;1;0;0;0;0;0
O00567;0;1;0;0;0;0
O00567;0;1;0;0;0;1
O00567;0;1;0;0;0;0
O00571;0;0;0;1;0;0
O00571;0;0;0;0;0;1
O00571;0;0;1;0;0;1
O00754;0;0;0;1;0;1
O00763;1;0;0;0;0;0
O14529;0;0;1;1;1;0
O14529;0;0;1;1;1;0
O14529;0;0;0;0;1;0
O14561;1;1;1;1;0;1
O14579;0;0;1;0;0;0
O14683;1;0;0;0;0;0
O14773;1;0;0;0;0;0
O14773;0;0;1;1;1;1
O14773;1;1;0;0;0;1
O14773;0;1;0;0;0;0
O14773;0;1;0;0;0;0
O14773;0;0;0;1;0;0
O14907;0;0;0;0;1;0
O14907;0;0;0;0;0;1
O14950;1;1;1;1;0;1
O14950;0;1;0;0;1;1
O14950;0;1;0;0;0;0
O14964;1;0;0;0;0;0
O14964;0;0;1;0;0;0
O14964;0;0;0;1;0;0
O14974;1;1;0;0;1;0
O14974;0;1;0;0;0;1
O14974;0;0;0;0;1;0
O14979;0;0;0;1;1;1
O14979;0;1;0;0;0;0
O15018;1;0;0;0;0;0
O15020;0;0;0;0;0;1
O15061;0;0;0;1;1;1
O15061;1;1;0;0;0;0
O15061;1;0;0;0;0;0
O15061;1;0;0;0;0;0
O15061;1;0;0;0;0;0
O15061;1;0;0;1;0;0
O15061;0;0;0;1;0;0
O15061;0;1;0;1;0;0
O15061;0;1;0;0;0;0
O15061;1;0;0;0;0;0
O15061;0;1;0;0;0;0
O15061;1;0;0;0;0;0
O15061;1;1;0;1;0;0
O15061;0;0;0;1;0;0
O15061;0;0;0;0;1;1
O15061;0;0;0;1;0;0
O15061;0;1;0;0;1;0
O15061;0;0;0;1;0;0
O15061;0;0;0;0;0;1
O15061;0;0;0;1;0;0
O15061;0;0;0;0;1;0
O15075;1;0;0;0;0;0
O15144;1;0;0;0;0;0
O15144;0;1;1;0;0;0
O15144;0;0;0;1;0;1
O15145;1;0;0;0;1;0
O15231;0;0;1;1;0;1
O15231;0;0;0;0;0;1
O15305;0;1;0;0;0;0
O15371;0;1;0;0;0;0
O15511;0;0;1;0;0;0
O15511;0;0;0;1;1;0
O15511;0;0;0;0;1;0
O15540;1;0;1;0;0;0
O15540;0;1;0;0;0;0
O43237;1;1;1;0;1;1
O43237;1;0;0;0;0;0
O43242;0;0;0;1;0;0
O43290;1;0;0;0;0;0
O43290;0;0;0;1;0;0
O43390;1;0;0;0;0;1
O43390;0;0;0;1;0;0
O43390;0;1;0;0;1;0
O43390;0;1;1;0;0;1
O43390;0;1;0;0;0;1
O43390;0;0;0;0;0;1
O43396;1;0;0;0;0;0
O43399;1;0;1;0;0;0
O43399;0;1;0;0;0;1
O43399;0;0;0;0;0;1
O43399;0;0;0;0;0;1
O43426;1;0;0;0;0;0
O43464;1;1;0;1;0;1
O43488;0;0;0;0;0;1
O43491;0;1;1;1;0;1
O43491;1;0;1;0;1;0
O43491;1;0;0;0;0;1
O43491;0;1;0;0;1;0
O43491;0;1;0;0;0;0
O43491;0;0;0;1;0;0
O43516;1;1;0;0;0;1
O43592;0;0;0;0;0;1
O43598;0;0;0;0;0;1
O43633;1;1;0;0;0;0
O43707;0;0;0;1;0;0
O43707;1;1;1;0;0;0
O43707;0;1;0;0;0;0
O43707;0;1;0;0;0;0
O43707;0;0;0;0;0;1
O43707;0;0;0;1;0;0
O43768;0;0;0;0;1;0
O43776;0;0;0;0;0;1
