;One;Two;Three;Four;Five;Six
A0A075B6I4;1;0;0;0;1;0
A0A075B6K2;0;1;0;0;0;0
A0A075B6K4;1;1;1;1;1;1
A0A075B6Q5;1;1;1;1;1;1
A0A075B6S5;0;0;1;1;1;1
A0A087WSX0;0;0;0;1;0;0
A0A087WSY4;0;1;0;0;0;0
A0A0A0MRZ8;1;1;1;1;1;1
A0A0A0MS14;0;1;0;0;0;0
A0A0A0MS15;1;1;1;1;1;1
A0A0A0MT36;1;1;1;1;0;0
A0A0B4J1U3;1;1;1;0;1;0
A0A0B4J1V0;1;1;1;1;1;1
A0A0B4J1V1;0;0;0;0;0;1
A0A0B4J1V2;0;1;0;0;1;1
A0A0B4J1X5;1;1;1;1;1;1
A0A0B4J2D9;0;1;1;1;1;1
A0A0C4DH25;1;1;0;0;0;0
A0A0C4DH29;0;0;1;0;0;0
A0A0C4DH31;1;0;0;0;0;1
A0A0C4DH32;1;1;1;0;0;1
A0A0C4DH33;1;0;0;0;0;0
A0A0C4DH34;0;1;0;0;1;1
A0A0C4DH38;1;1;1;1;1;1
A0A0C4DH42;1;1;1;1;1;1
A0A0C4DH43;1;1;1;1;1;1
A0A0C4DH55;1;1;0;1;0;0
A0A0C4DH68;1;1;1;1;1;1
A0A0C4DH69;1;1;1;1;1;1
A0A0C4DH72;1;1;1;1;1;1
A0A0C4DH73;1;1;1;1;1;1
A0A0J9YXX1;1;1;1;1;1;1
A0FGR8;1;1;0;1;0;0
A0M8Q6;1;1;1;0;1;1
A0MZ66;0;0;0;0;0;1
A0PJW8;1;1;1;1;1;1
A1IGU5;0;0;0;0;0;1
A1L0T0;0;1;0;0;0;0
A1L4H1;1;0;0;1;1;0
A1Z1Q3;0;1;0;0;0;0
A2A3K4;1;0;0;0;0;0
A2RRP1;1;0;1;0;1;1
A2RUR9;0;0;0;1;0;0
A2VCL2;0;0;0;0;1;0
A4UGR9;0;1;0;0;0;0
A5A3E0;0;1;0;0;0;0
A5YM69;1;1;0;0;0;1
A6NCM1;0;1;1;0;0;0
A6ND36;0;1;1;0;0;1
A6NDG6;0;1;1;1;1;1
A6NDU8;0;0;0;0;1;1
A6NEC2;0;1;1;1;0;1
A6NHQ2;1;1;0;0;0;0
A6NHR9;0;0;0;0;1;0
A6NMS7;0;1;0;0;0;0
A6NMZ7;1;1;1;1;1;1
A6NNF4;0;0;0;0;0;1
A6NP61;0;0;0;1;0;0
A8K0R7;0;1;0;0;0;0
A8K2U0;1;1;1;1;1;1
A8MPX8;0;1;0;0;0;0
A8MSI8;0;0;0;0;0;1
A8MWX3;0;0;0;0;0;1
A8MYU2;0;0;0;0;1;0
A8TX70;1;0;0;0;1;0
B1AK53;0;1;1;0;0;0
B2RUZ4;1;1;1;0;1;1
B3EWG6;1;1;1;1;1;1
B5ME19;1;1;1;0;0;1
B9A064;1;1;1;1;1;1
E7ETH6;1;0;0;0;0;0
H7BZ55;0;1;1;1;1;1
O00115;0;1;0;1;0;1
O00148;0;0;0;1;1;1
O00151;1;1;1;1;1;1
O00154;0;1;1;0;0;1
O00159;1;1;1;1;1;1
O00161;1;1;1;1;1;1
O00170;1;1;1;1;1;1
O00186;0;0;1;0;0;1
O00187;1;1;1;1;1;0
O00193;1;1;1;1;1;1
O00203;0;0;0;0;0;1
O00204;1;0;1;1;1;1
O00214;0;1;1;0;0;0
O00217;1;1;1;1;0;1
O00231;1;1;1;1;1;1
O00232;1;0;1;1;0;1
O00233;0;1;1;1;1;1
O00244;1;1;1;1;0;1
O00264;1;1;1;1;1;1
O00268;1;0;0;0;0;1
O00273;1;1;1;1;1;1
O00299;1;1;1;1;1;1
O00303;1;1;1;1;1;1
O00330;1;0;0;0;0;1
O00339;1;0;1;0;1;1
O00391;1;0;0;1;1;0
O00410;1;1;1;1;1;1
O00418;1;1;0;0;0;1
O00422;1;0;0;1;1;1
O00423;0;0;0;0;0;1
O00468;1;1;1;1;1;1
O00471;0;0;1;0;0;0
O00479;1;1;1;1;1;1
O00481;0;1;0;0;0;0
O00483;1;1;0;0;0;1
O00499;1;0;0;0;0;0
O00505;1;1;1;1;1;1
O00515;1;1;1;1;1;1
O00533;0;1;0;0;0;0
O00534;0;1;1;1;1;1
O00560;1;1;1;1;0;1
O00567;1;1;1;1;0;1
O00571;1;1;1;1;1;1
O00585;1;1;0;0;0;1
O00629;1;1;1;1;1;1
O00743;1;1;1;1;1;1
O00754;1;1;1;1;1;1
O00763;1;0;0;0;0;0
O00764;1;1;1;1;1;1
O14495;0;1;0;0;0;1
O14497;0;1;1;1;1;1
O14498;0;1;0;0;0;0
O14529;1;1;1;1;1;1
O14545;1;1;1;0;0;0
O14548;0;0;0;1;0;0
O14558;1;1;1;0;1;0
O14561;1;1;1;1;1;1
O14579;1;1;1;1;1;1
O14618;1;1;0;1;1;1
O14639;1;1;1;1;1;0
O14683;1;1;0;0;0;0
O14732;1;1;0;1;0;0
O14737;1;1;0;1;1;1
O14744;0;0;1;0;0;0
O14745;1;1;1;1;1;1
O14773;1;1;1;1;1;1
O14776;1;1;1;1;0;1
O14777;0;0;1;1;0;0
O14786;0;0;0;1;0;1
O14791;1;1;1;1;1;1
O14818;1;1;1;1;1;1
O14828;0;1;0;1;0;1
O14832;0;0;1;0;0;0
O14841;0;1;0;0;0;1
O14879;0;1;0;0;0;0
O14880;0;1;0;0;0;0
O14896;1;1;1;1;0;1
O14907;1;1;1;1;1;1
O14908;0;1;1;1;1;1
O14910;1;0;0;0;0;0
O14920;0;0;0;1;0;0
O14936;1;1;0;0;0;1
O14949;1;1;0;1;0;1
O14950;1;1;1;1;1;1
O14960;0;0;0;0;0;1
O14964;1;1;1;1;1;1
O14974;1;1;1;1;1;1
O14979;1;1;1;1;1;1
O14980;1;1;1;1;1;1
O15020;1;1;1;1;1;1
O15027;0;0;1;1;0;0
O15031;1;0;0;0;0;0
O15042;1;1;1;0;1;1
O15047;0;0;1;0;0;0
O15049;0;0;1;0;0;0
O15061;1;1;1;1;1;1
O15067;0;1;0;1;0;0
O15075;1;1;0;1;1;1
O15126;0;1;0;1;1;1
O15143;1;1;1;1;1;1
O15144;1;1;1;1;1;1
O15145;1;1;1;1;1;1
O15156;0;1;1;0;0;0
O15160;1;0;1;0;1;1
O15173;1;1;1;1;1;1
O15212;1;1;1;1;1;1
O15230;1;1;1;1;1;1
O15231;1;1;1;1;1;1
O15247;1;1;0;0;1;1
O15254;1;1;0;0;0;0
O15258;1;1;0;1;1;1
O15264;0;0;0;0;0;1
O15294;0;0;0;1;1;1
O15305;0;1;0;0;0;1
O15355;0;1;0;1;0;1
O15371;1;1;1;1;1;1
O15382;0;1;0;0;0;0
O15400;1;1;1;1;1;1
O15428;0;0;0;1;0;0
O15446;1;0;0;1;0;1
O15460;0;0;1;0;0;0
O15498;0;1;0;0;0;0
O15511;0;1;1;1;1;1
O15540;1;1;1;0;0;0
O15550;0;0;0;0;0;1
O43143;1;1;1;1;0;1
O43149;0;1;0;0;0;0
O43150;0;1;0;0;0;0
O43169;1;0;1;1;1;1
O43172;0;1;1;0;0;0
O43175;1;1;1;1;1;1
O43181;0;0;0;1;1;1
O43237;1;1;1;1;1;1
O43240;0;0;0;0;0;1
O43242;1;1;1;1;1;1
O43251;0;0;0;1;0;0
O43252;0;0;0;0;0;1
O43264;0;0;0;0;0;1
O43281;0;0;1;1;0;0
O43290;1;1;1;1;0;1
O43294;1;1;0;1;1;1
O43301;0;0;0;0;0;1
O43390;1;1;1;1;1;1
O43396;1;1;1;1;1;1
O43399;1;1;1;1;1;1
O43402;0;0;0;0;0;1
O43432;0;0;0;0;0;1
O43447;1;1;1;1;1;1
O43463;0;0;0;1;0;0
O43464;1;1;1;1;0;0
O43488;1;1;1;1;1;1
O43491;1;1;1;1;1;1
O43504;0;0;0;0;0;1
O43516;0;1;0;0;0;1
O43548;0;0;0;0;1;0
O43583;0;1;0;1;1;1
O43598;1;1;1;1;0;1
O43617;0;0;0;1;0;0
O43633;1;1;1;1;0;1
O43660;0;1;1;0;0;0
O43670;1;1;1;0;1;1
O43678;1;1;1;1;1;1
O43681;1;1;0;0;0;1
