;P7 VLU heel;P8 VLU heel;P9 VLU heel;P10 VLU heel;P11 VLU heel;P12 VLU heel 
A0A075B6H72138;0;0;1;0;0;0
A0A075B6H74666;1;0;0;0;0;0
A0A0B4J1V26071;0;0;0;0;1;0
A1L0T0573585;0;1;0;0;0;0
A5A3E010501072P60709350372P0CG3810501072P63261350372;0;1;0;0;0;0
A5A3E0780795P607098095P681338297P0CG38780795P680328297P632618095;0;1;0;0;0;0
A5A3E0945954P63267246255P60709245254P62736247256P68133247256Q562R1246255P68032247256P63261245254;0;0;0;0;0;1
A6NNF41630;0;0;0;0;0;1
A6NP618398;0;0;0;1;0;0
A8K0R7514536;0;1;0;0;0;0
A8MUU14875;0;0;0;0;0;1
A8TX7018901904;1;0;0;0;0;0
O001515169;1;0;0;0;0;0
O00159554568;0;1;0;0;0;0
O00159973983;0;0;0;1;0;0
O00161125142;0;0;0;0;0;1
O00231178187;0;1;0;0;0;0
O003913351;0;0;0;0;1;0
O0046814441456;0;1;0;0;0;0
O0046814951509;0;1;0;0;0;0
O004818088;0;1;0;0;0;0
O00515155164;0;1;0;0;0;0
O005151928O005151928;1;0;0;0;0;0
O00534512;0;0;0;0;0;1
O005603348;1;0;0;0;0;0
O00567519534;0;1;0;0;0;0
O00754455463;0;0;0;0;0;1
O14579125138;1;0;0;0;0;0
O14579147161;0;0;1;0;0;0
O14745274287;0;0;0;0;0;1
O14773456465;0;1;0;0;0;0
O14773482492;0;1;0;0;0;0
O14791121137;0;0;1;0;0;0
O148804559;0;1;0;0;0;0
O149074759;0;0;0;0;0;1
O149101527;1;0;0;0;0;0
O14936527537;1;0;0;0;0;0
O14974649663;0;1;0;0;0;0
O14979253273;0;1;0;0;0;0
O1502017841793;1;0;0;0;0;0
O1506111181125;1;0;0;0;0;0
O1506111731185;1;0;0;0;0;0
O1506113731399;0;0;0;1;0;0
O15061437455;1;0;0;0;0;0
O15067427458;0;1;0;0;0;0
O15075171177;1;0;0;0;0;0
O15144129141;0;1;0;0;0;0
O1523017471759;0;1;0;0;0;0
O153717387;0;1;0;0;0;0
O155406679;0;1;0;0;0;0
O431727482;0;1;0;0;0;0
O43175260268;0;1;0;0;0;0
O431814375;0;0;0;0;0;1
O43242483495;0;0;0;1;0;0
O43290511519;0;0;0;0;0;1
O432948095;0;1;0;0;0;0
O43390280289O60506277286;0;0;0;0;0;1
O43491578593;0;0;0;0;0;1
O43491682695;0;0;0;1;0;0
O4349195123;0;1;0;0;0;0
O435985465;0;0;0;0;0;1
O43660109116;0;1;0;0;0;0
O436811635;0;1;0;0;0;0
O43684298314;0;0;0;0;0;1
O43707481494;0;1;0;0;0;0
O43707527536;1;0;0;0;0;0
O43707612633;0;1;0;0;0;0
O43707791805;0;1;0;0;0;0
O43707794805;0;0;1;0;0;0
O437197895;0;0;0;0;0;1
O43760193224O43760193224;0;0;0;0;0;1
O602401023;0;0;0;0;0;1
O60240320329;0;0;0;0;0;1
O60240623;0;0;0;0;0;1
O60313269290;0;1;0;0;0;0
O6043713721380;0;1;0;0;0;0
O60437574587;0;1;0;0;0;0
O60506154171;0;0;0;0;0;1
O605064860;0;1;0;0;0;0
O60664187213;0;1;0;0;0;0
O606646168;0;0;0;0;0;1
O60684513;0;0;0;1;0;0
O60687444457;0;1;0;0;0;0
O60716158180;0;0;0;0;0;1
O60716365378O60716365378;1;0;0;0;0;0
O60784239259;0;1;0;0;0;0
O60826302320;0;1;0;0;0;0
O6084018941913;0;1;0;0;0;0
O60911111121;0;0;1;0;0;0
O609274455;0;1;0;0;0;0
O75083452470;0;0;0;0;0;1
O751905462;0;1;0;0;0;0
O752513050;0;0;0;1;0;0
O75339311320;0;1;0;0;0;0
O753396173;0;1;0;0;0;0
O7536913091330;0;0;0;0;0;1
O7536920862094;0;1;0;0;0;0
O753806883;0;1;0;0;0;0
O75381291310;0;1;0;0;0;0
O75521112134;0;0;0;0;0;1
O7569413241333;0;0;0;1;0;0
O758285158P161525158;0;1;0;0;0;0
O75832161184;0;1;0;0;0;0
O75874240249;0;1;0;0;0;0
O75886419429;0;0;0;0;0;1
O75915167178;0;1;0;0;0;0
O75937170177;0;1;0;0;0;0
O75940109129;0;1;0;0;0;0
O76015116123;1;0;0;0;0;0
O76041949957;1;0;0;0;0;0
O94788405412;0;0;0;0;1;0
O94826138159;0;1;0;0;0;0
O94874522533;0;0;0;0;0;1
O94901549563;0;1;0;0;0;0
O9490690111;0;0;1;0;0;0
O94979332342;0;0;0;0;1;0
O95274282295;0;0;0;0;0;1
O95302251273;0;0;0;0;0;1
O95336157168;0;0;0;0;0;1
O9535925112520;0;0;0;0;0;1
O953794356;0;0;1;0;0;0
O95425115135;0;0;0;0;0;1
O95425121135;0;0;0;0;1;0
O95453547554;0;0;0;0;0;1
O95460126137;1;0;0;0;0;0
O95479649661;0;1;0;0;0;0
O956786470;0;1;0;0;0;0
O9568491112;0;0;0;1;0;0
O95782865878;0;1;0;0;0;0
O95793159168;0;0;0;1;0;0
O95817458473;0;1;0;0;0;0
O960071233;0;1;0;0;0;0
P00325207219;0;1;0;0;0;0
P00367194203;0;1;0;0;0;0
P00367310318;0;0;0;0;0;1
P003676876;0;0;0;0;0;1
P00387131143;0;1;0;0;0;0
P00441106116;1;0;0;0;0;0
P004415270;0;1;0;0;0;0
P00450491500;0;1;0;0;0;0
P00450736749;0;0;1;0;0;0
P004884657;0;1;0;0;0;0
P0053310571068;0;0;0;0;0;1
P0055897123;0;1;0;0;0;0
P00734182198P00734182198;0;0;0;0;0;1
P00734291309;0;1;0;0;0;0
P00734512541;0;1;0;0;0;0
P00734550560;0;1;0;0;0;0
P00736205212;0;1;0;0;0;0
P00738251261;1;0;0;0;0;0
P00739104112P00738162170;0;0;0;0;0;1
P00746219227;0;1;0;0;0;0
